date,context_variant,brief_variant,research_variant,track_a_picks,track_a_avg_pnl,track_a_avg_pnl_905,track_a_catchable_count,track_b_picks,track_b_avg_pnl,track_b_avg_pnl_905,track_b_catchable_count,combo_id
2026-06-12,legacy,legacy,legacy,"000660,005930,267260,373220,042660",-1.99,,3,"042700,240810,403870,089030,095340",1.80,,2,legacy
2026-06-15,v1,v1,v1,"034020,042660,064350,267260,105560",2.28,,4,"099320,077970,196170,211270,451760",1.80,,1,v1-v1-v1
2026-06-15,v2,v2,v2,"000660,042700,042660,005930,402340",-0.48,,4,"089030,005290,036930,031980,095340",-1.40,,3,v2-v2-v2
2026-06-16,v1,v1,v1,"000660,005930,042660,064350,012450",1.80,,4,"000500,077970,189350,189300,298040",-0.72,,2,v1-v1-v1
2026-06-16,v2,v2,v2,"000660,034020,005930,329180,042660",-1.00,,4,"403870,089030,034020,196170,240810",-3.00,,0,v2-v2-v2
2026-06-16,v3,v3,v3,"005930,000660,267260,329180,011200",-1.00,,4,"064350,267260,083650,032820,277810",0.20,,1,v3-v3-v3
2026-06-18,v1,v1,v1,"034020,010120,012450,042660,329180",-3.00,-2.40,2,"277810,009420,062040,033100,108490",-1.40,-1.50,0,v1-v1-v1
2026-06-18,v3,v3,v3,"042660,329180,034020,012450,105560",-2.33,-1.79,3,"083650,166090,032820,042700,403870",-1.40,-1.80,2,v3-v3-v3
